Word,Lin_Yutang,Ku_Hungming,Difference_(Lin-Ku),Ratio_(Lin/Ku)
chinese,1347,200,1147,6.74
life,543,50,493,10.86
man,532,40,492,13.30
woman,472,30,442,15.73
people,502,80,422,6.28
west,262,30,232,8.73
confucius,230,20,210,11.50
nation,195,30,165,6.50
family,171,40,131,4.28
character,183,60,123,3.05
spirit,191,80,111,2.39
nature,145,40,105,3.62
home,101,15,86,6.73
tao,93,10,83,9.30
buddh,86,8,78,10.75
society,66,15,51,4.40
virtue,60,25,35,2.40
east,27,15,12,1.80
moral,100,189,-89,0.53
civilisation,45,161,-116,0.28
